upgrade,const,display_name,description,type,faction_restriction,doctrine_restriction,unlock_restriction,man,mun,fuel,pop,uses,slots,unitwide_slots,max,model_count,add_model_count,unit
ally_grenade,ALLY.GRENADE,Grenades,Line infantry grenades,consumable,americans,,,0,35,0,0,2,0,0,1,,,riflemen
ranger_grenade,ALLY.GRENADE,Grenades,Elite infantry grenades,consumable,americans,,,0,40,0,0,2,0,0,1,,,airborne
ranger_grenade,ALLY.GRENADE,Grenades,Elite infantry grenades,consumable,,airborne,,0,40,0,0,2,0,0,1,,,assault_airborne
ranger_grenade,ALLY.GRENADE,Grenades,Elite infantry grenades,consumable,,infantry,,0,40,0,0,2,0,0,1,,,rangers
bar,ALLY.BAR,BAR,A single Browning Automatic Rifle,single_weapon,americans,,,0,55,0,0,0,1,0,1,,,riflemen
bar,ALLY.BAR,BAR,A single Browning Automatic Rifle,single_weapon,,infantry,,0,55,0,0,0,1,0,1,,,ambush_riflemen
sticky_bombs,ALLY.STICKY,Sticky Bombs,Anti-tank grenades that stick to targets,consumable,americans,,,0,55,0,0,3,0,0,1,,,riflemen
sticky_bombs,ALLY.STICKY,Sticky Bombs,Anti-tank grenades that stick to targets,consumable,,infantry,,0,55,0,0,3,0,0,1,,,ambush_riflemen
ally_smoke_grenade,ALLY.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,americans,,,0,10,0,0,1,0,0,1,,,riflemen
ally_smoke_grenade,ALLY.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,,airborne,,0,10,0,0,1,0,0,1,,,assault_airborne
ally_smoke_grenade,ALLY.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,,airborne,,0,10,0,0,1,0,0,1,,,airborne
ally_smoke_grenade,ALLY.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,americans,,,0,10,0,0,1,0,0,1,,,engineers
