upgrade,const,display_name,description,type,faction_restriction,doctrine_restriction,unlock_restriction,man,mun,fuel,pop,uses,slots,unitwide_slots,max,model_count,add_model_count,unit
two_bren_guns,CMW.BREN_GUN,Bren Gun,Two Bren Guns,single_weapon,british,,,0,60,0,0,0,1,0,1,,,infantry_section
two_bren_guns,CMW.BREN_GUN,Bren Gun,Two Bren Guns,single_weapon,,canadians,,0,60,0,0,0,1,0,1,,,canadian_section
two_bren_guns,CMW.BREN_GUN,Bren Gun,Two Bren Guns,single_weapon,,engineers,now_this_is_a_big_sodding_gun,0,60,0,0,0,1,0,1,,,sappers
two_bren_guns,CMW.BREN_GUN,Bren Gun,Two Bren Guns,single_weapon,,engineers,now_this_is_a_big_sodding_gun,0,60,0,0,0,1,0,1,,,expert_sappers
two_bren_guns_button,CMW.BREN_WITH_BUTTON,Two Bren Guns with Button,"Two Bren Guns with the Button ability. When activated, prevents the targeted tank or vehicle from firing or moving quickly",single_weapon,british,,,0,100,0,0,0,1,0,1,,,infantry_section
two_bren_guns_button,CMW.BREN_WITH_BUTTON,Two Bren Guns with Button,"Two Bren Guns with the Button ability. When activated, prevents the targeted tank or vehicle from firing or moving quickly",single_weapon,,canadians,,0,100,0,0,0,1,0,1,,,canadian_section
mortar_pit,AXIS.BUNKER,Mortar Pit,"A empty mortar pit emplacement, can be garrisoned by mortar teams",building,british,,,0,30,0,0,1,0,0,1,,,infantry_section
mortar_pit,AXIS.BUNKER,Mortar Pit,"A empty mortar pit emplacement, can be garrisoned by mortar teams",building,,canadians,,0,30,0,0,1,0,0,1,,,canadian_section
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,british,,,0,10,0,0,2,0,0,1,,,infantry_section
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,,canadians,,0,10,0,0,2,0,0,1,,,canadian_section
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,,canadians,,0,10,0,0,2,0,0,1,,,ssf
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,british,,,0,10,0,0,2,0,0,1,,,recon_section
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,british,,,0,10,0,0,2,0,0,1,,,sappers
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,british,,,0,10,0,0,2,0,0,1,,,expert_sappers
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,,commandos,,0,10,0,0,2,0,0,1,,,commandos
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,,commandos,,0,10,0,0,2,0,0,1,,,piat_commandos
cmw_smoke_grenade,CMW.SMOKE_GRENADES,Smoke Grenades,Grenade that provides smoke cover,consumable,,commandos,,0,10,0,0,2,0,0,1,,,polish_commandos
rifle_grenade,CMW.RIFLE_GRENADE,Rifle Grenades,"Replace two Lee Enfield rifles with rifle grenade launchers, allowing for indirect fire with grenades",single_weapon,british,,,0,110,0,0,0,1,0,1,,,infantry_section
rifle_grenade,CMW.RIFLE_GRENADE,Rifle Grenades,"Replace two Lee Enfield rifles with rifle grenade launchers, allowing for indirect fire with grenades",single_weapon,,canadians,,0,110,0,0,0,1,0,1,,,canadian_section
rifle_grenade,CMW.RIFLE_GRENADE,Rifle Grenades,"Replace two Lee Enfield rifles with rifle grenade launchers, allowing for indirect fire with grenades",single_weapon,,engineers,now_this_is_a_big_sodding_gun,0,110,0,0,0,1,0,1,,,sappers
rifle_grenade,CMW.RIFLE_GRENADE,Rifle Grenades,"Replace two Lee Enfield rifles with rifle grenade launchers, allowing for indirect fire with grenades",single_weapon,,engineers,now_this_is_a_big_sodding_gun,0,110,0,0,0,1,0,1,,,expert_sappers
cmw_mine_detector,ALLY.MINE_DETECTOR,Mine Detector,Hand-held mine detector,single_weapon,british,,,0,10,0,0,0,0,0,1,,,sappers
cmw_timed_demo,ALLY.DEMOLITIONS,Timed Demolition Charges,Powerful explosives that must be placed and explode on a timer,consumable,british,,,0,30,0,0,2,0,0,1,,,sappers
cmw_timed_demo,ALLY.DEMOLITIONS,Timed Demolition Charges,Powerful explosives that must be placed and explode on a timer,consumable,,canadians,,0,30,0,0,2,0,0,1,,,ssf
casualty_clearing_station,CMW.CASUALTY_STATION,Casualty Clearing Station,"Building with the ability to heal infantry on a cooldown. Also spawns medics to collect wounded.",building,british,,,0,90,0,0,1,0,0,,,,sappers
casualty_clearing_station,CMW.CASUALTY_STATION,Casualty Clearing Station,"Building with the ability to heal infantry on a cooldown. Also spawns medics to collect wounded.",building,british,,,0,90,0,0,1,0,0,,,,expert_sappers
two_piats,CMW.PIATS,PIATs,"Handheld anti tank weapons that fire in an arc. Can shoot behind cover.",single_weapon,british,,,0,110,0,0,0,1,0,1,,,sappers
two_piats,CMW.PIATS,PIATs,"Handheld anti tank weapons that fire in an arc. Can shoot behind cover.",single_weapon,british,,,0,110,0,0,0,1,0,1,,,expert_sappers
cmw_mines,CMW.MINES,Mines,Camouflaged explosives that detonate on enemy contact.,consumable,british,,,0,35,0,0,2,0,0,1,,,sappers
cmw_mines,CMW.MINES,Mines,Camouflaged explosives that detonate on enemy contact.,consumable,british,,,0,35,0,0,2,0,0,1,,,expert_sappers
two_boys_at,CMW.BOYSAT,Boys AT Rifles,"Handheld anti tank rifles effective against light vehicles",single_weapon,british,,,0,50,0,0,0,1,0,1,,,sappers
