name,games played,wins,losses,last_played,ts_elo,ts_mu,ts_sigma
(HBM) MARK,16,8,8,2019-05-17,1266.5819788290169,15.809365115311412,4.03198780657538
...,4,4,0,2020-02-18,1744.4455682408234,29.62995879174149,6.553351051692415
123,41,17,24,2019-07-07,1506.4079704736355,22.745523586072903,2.5214330885928815
12OCKY,94,55,39,2020-05-06,1776.9154553633934,30.569040836458374,1.6858038730653417
4LEX,720,325,395,2024-02-07,1518.0978966438029,23.083615299451218,1.1079556720323682
ADRIAN,8,3,5,2020-04-22,1540.80759152676,23.740416680530238,4.928421052227595
AMAGAND,5,2,3,2019-05-14,1635.078709295568,26.466891019596915,5.453014785673491
ANTHONY210,4,3,1,2020-03-06,1538.0623943731957,23.661021105596802,6.063165424709637
AREA213,1196,598,598,2024-02-10,1540.4621231765243,23.730425172906585,1.1103814926724587
ASHFALL,274,118,156,2020-08-13,1517.5494612649363,23.067753654628213,1.1775445851718993
ATTACKTACOS,212,86,126,2022-11-06,1497.5597779127452,22.48961943923175,1.2913248420840675
AVNY,2,1,1,2019-05-19,1572.053228829695,24.64409142556889,7.305751965935003
AVRO,11,4,7,2020-05-10,1267.6445162005957,15.84009542748416,4.4644399159339
BATGIRL,215,129,86,2020-05-07,1784.3060456855396,30.78278875141684,1.2809909089297662
BEHEMOTH,8,1,7,2019-04-16,1360.8233572070162,18.53497934273607,5.472572790968886
BLACKOUT,3,0,3,2019-05-21,1000.0,8.09937989674833,6.211041516051452
BLITZEY,25,7,18,2019-05-30,1283.7800489795372,16.306761328029044,3.6636391856203527
BOLT,92,68,24,2020-05-15,2000.0,37.02100937984327,1.734330486094961
BROCOP,1,1,0,2020-07-12,1721.0981827083604,28.954714357972623,7.609755558736229
BROTHERGLACIUS,181,67,114,2024-02-03,1244.9666686081775,15.184215121942147,1.3765486953349053
BUD,13,6,7,2024-01-06,1488.4974987403302,22.227523558734795,3.7604880684562736
CHAOS,2,0,2,2020-05-20,1384.6439747514162,19.223910417413713,6.793747128724953
CHEESEDOG,2,1,1,2023-09-24,1612.7206906328838,25.820260687858635,6.615518353903835
CHICKYLEGS,163,79,84,2024-02-07,1143.7282559438254,12.256235261407086,1.315732786420373
