upgrade,const,display_name,description,type,faction_restriction,doctrine_restriction,unlock_restriction,man,mun,fuel,pop,uses,slots,unitwide_slots,max,model_count,add_model_count,unit
ally_grenade,ALLY.GRENADE,Grenades,Line infantry grenades,consumable,americans,,,0,35,0,0,2,0,0,1,,,riflemen
ranger_grenade,ALLY.GRENADE,Grenades,Elite infantry grenades,consumable,americans,,,0,40,0,0,2,0,0,1,,,airborne
ranger_grenade,ALLY.GRENADE,Grenades,Elite infantry grenades,consumable,americans,,,0,40,0,0,2,0,0,1,,,assault_airborne
bar,ALLY.BAR,BAR,A single Browning Automatic Rifle,single_weapon,americans,,,0,55,0,0,0,1,0,1,,,riflemen
sticky_bombs,ALLY.STICKY,Sticky Bombs,Anti-tank grenades that stick to targets,consumable,americans,,,0,55,0,0,3,0,0,1,,,riflemen
ally_smoke_grenade,ALLY.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,americans,,,0,10,0,0,1,0,0,1,,,riflemen
ally_smoke_grenade,ALLY.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,americans,,,0,10,0,0,1,0,0,1,,,assault_airborne
ally_smoke_grenade,ALLY.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,americans,,,0,10,0,0,1,0,0,1,,,airborne
ally_smoke_grenade,ALLY.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,americans,,,0,10,0,0,1,0,0,1,,,engineers
bar_suppression,ALLY.SUPPRESSION,BAR with Suppression Fire,"A single Browning Automatic Rifle with the Suppression Fire ability. When activated, quickly suppresses the target infantry squad",single_weapon,americans,,,0,85,0,0,0,1,0,1,,,riflemen
satchel_charge,ALLY.SATCHEL,Satchel Charges,Large packages of thrown explosives on a five-second timer,consumable,,airborne,,0,60,0,0,2,0,0,1,,,airborne
satchel_charge,ALLY.SATCHEL,Satchel Charges,Large packages of thrown explosives on a five-second timer,consumable,,airborne,,0,60,0,0,2,0,0,1,,,assault_airborne
