upgrade,const,display_name,description,type,faction_restriction,doctrine_restriction,unlock_restriction,man,mun,fuel,pop,uses,slots,unitwide_slots,max,model_count,add_model_count,unit
mp40,AXIS.MP40,MP40s,Equip the squad with MP40s,squad_weapon,wehrmacht,,,0,45,0,0,0,0,1,1,,,volksgrenadiers
axis_panzerfaust,AXIS.FAUST,Panzerfaust,Disposable Panzerfaust anti-tank weapons,consumable,wehrmacht,,,0,35,0,0,2,0,0,1,,,volksgrenadiers
axis_panzerfaust,AXIS.FAUST,Panzerfaust,Disposable Panzerfaust anti-tank weapons,consumable,wehrmacht,,,0,35,0,0,2,0,0,1,,,kch
axis_panzerfaust,AXIS.FAUST,Panzerfaust,Disposable Panzerfaust anti-tank weapons,consumable,,defensive,,0,35,0,0,2,0,0,1,,,fortress_pioneers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,volksgrenadiers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,grenadiers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,pioneers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,mg42
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,mortar_axis
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,pak38
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,medic
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,sniper_axis
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,nebelwerfer
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,defensive,,0,20,0,0,2,0,0,1,,,fortress_pioneers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,defensive,,0,20,0,0,2,0,0,1,,,officer_def
