Player Count,Start Date Time,Start Time,End Date Time,End Time,Length
6,2023-10-20 21:35:55 +0200,21:35:55,2023-10-20 22:30:38 +0200,22:30:38,3283.0
6,2023-10-20 22:55:15 +0200,22:55:15,2023-10-20 23:49:43 +0200,23:49:43,3268.0
8,2023-10-21 00:14:20 +0200,00:14:20,2023-10-21 01:10:30 +0200,01:10:30,3370.0
6,2023-10-21 01:24:14 +0200,01:24:14,2023-10-21 02:11:22 +0200,02:11:22,2828.0
8,2023-10-22 20:35:01 +0200,20:35:01,2023-10-22 21:50:16 +0200,21:50:16,4515.0
8,2023-10-22 21:59:54 +0200,21:59:54,2023-10-22 23:00:47 +0200,23:00:47,3653.0
8,2023-10-22 23:30:07 +0200,23:30:07,2023-10-23 00:40:41 +0200,00:40:41,4234.0
6,2023-10-23 19:25:40 +0200,19:25:40,2023-10-23 20:09:00 +0200,20:09:00,2600.0
6,2023-10-23 20:44:06 +0200,20:44:06,2023-10-23 21:47:01 +0200,21:47:01,3775.0
8,2023-10-23 22:08:44 +0200,22:08:44,2023-10-23 23:18:45 +0200,23:18:45,4201.0
8,2023-10-23 23:38:34 +0200,23:38:34,2023-10-24 00:32:15 +0200,00:32:15,3221.0
6,2023-10-24 00:50:23 +0200,00:50:23,2023-10-24 02:02:21 +0200,02:02:21,4318.0
6,2023-10-24 21:20:35 +0200,21:20:35,2023-10-24 22:10:08 +0200,22:10:08,2973.0
8,2023-10-24 22:38:31 +0200,22:38:31,2023-10-24 23:47:16 +0200,23:47:16,4125.0
6,2023-10-25 00:25:59 +0200,00:25:59,2023-10-25 01:19:22 +0200,01:19:22,3203.0
6,2023-10-25 21:09:28 +0200,21:09:28,2023-10-25 22:12:31 +0200,22:12:31,3783.0
8,2023-10-25 22:59:31 +0200,22:59:31,2023-10-26 00:07:32 +0200,00:07:32,4081.0
8,2023-10-26 22:30:34 +0200,22:30:34,2023-10-26 23:24:44 +0200,23:24:44,3250.0
6,2023-10-26 21:17:35 +0200,21:17:35,2023-10-26 22:15:09 +0200,22:15:09,3454.0
6,2023-10-26 23:41:13 +0200,23:41:13,2023-10-27 00:38:40 +0200,00:38:40,3447.0
6,2023-10-27 21:11:47 +0200,21:11:47,2023-10-27 22:14:22 +0200,22:14:22,3755.0
8,2023-10-27 22:29:15 +0200,22:29:15,2023-10-27 23:36:43 +0200,23:36:43,4048.0
8,2023-10-27 23:54:26 +0200,23:54:26,2023-10-28 00:59:16 +0200,00:59:16,3890.0
8,2023-10-28 01:10:50 +0200,01:10:50,2023-10-28 02:14:57 +0200,02:14:57,3847.0
8,2023-10-28 02:22:58 +0200,02:22:58,2023-10-28 03:31:26 +0200,03:31:26,4108.0
6,2023-10-28 22:09:10 +0200,22:09:10,2023-10-28 23:13:52 +0200,23:13:52,3882.0
6,2023-10-29 00:41:02 +0200,00:41:02,2023-10-29 01:46:31 +0200,01:46:31,3929.0
6,2023-10-29 19:59:09 +0100,19:59:09,2023-10-29 21:02:41 +0100,21:02:41,3812.0
8,2023-10-29 21:18:36 +0100,21:18:36,2023-10-29 22:35:54 +0100,22:35:54,4638.0
8,2023-10-29 22:52:17 +0100,22:52:17,2023-10-29 23:30:44 +0100,23:30:44,2307.0
8,2023-10-29 23:46:59 +0100,23:46:59,2023-10-30 00:38:33 +0100,00:38:33,3094.0
8,2023-10-30 00:54:14 +0100,00:54:14,2023-10-30 02:01:58 +0100,02:01:58,4064.0
6,2023-10-30 20:54:27 +0100,20:54:27,2023-10-30 21:55:58 +0100,21:55:58,3691.0
6,2023-10-31 20:22:00 +0100,20:22:00,2023-10-31 21:47:54 +0100,21:47:54,5154.0
8,2023-10-31 21:59:04 +0100,21:59:04,2023-10-31 23:03:36 +0100,23:03:36,3872.0
8,2023-11-01 21:44:26 +0100,21:44:26,2023-11-01 22:48:25 +0100,22:48:25,3839.0
6,2023-11-01 20:25:16 +0100,20:25:16,2023-11-01 21:31:21 +0100,21:31:21,3965.0
6,2023-11-01 23:19:03 +0100,23:19:03,2023-11-02 00:28:31 +0100,00:28:31,4168.0
8,2023-11-02 00:45:47 +0100,00:45:47,2023-11-02 01:51:25 +0100,01:51:25,3938.0
6,2023-11-02 02:02:56 +0100,02:02:56,2023-11-02 02:58:47 +0100,02:58:47,3351.0
6,2023-11-02 22:18:40 +0100,22:18:40,2023-11-02 23:22:52 +0100,23:22:52,3852.0
8,2023-11-03 00:11:36 +0100,00:11:36,2023-11-03 01:13:24 +0100,01:13:24,3708.0
8,2023-11-03 01:43:49 +0100,01:43:49,2023-11-03 03:02:30 +0100,03:02:30,4721.0
6,2023-11-03 20:10:52 +0100,20:10:52,2023-11-03 20:38:59 +0100,20:38:59,1687.0
8,2023-11-03 20:56:58 +0100,20:56:58,2023-11-03 21:14:18 +0100,21:14:18,1040.0
6,2023-11-03 21:27:17 +0100,21:27:17,2023-11-03 21:57:28 +0100,21:57:28,1811.0
8,2023-11-03 22:26:30 +0100,22:26:30,2023-11-03 23:31:59 +0100,23:31:59,3929.0
6,2023-11-03 23:55:32 +0100,23:55:32,2023-11-04 00:35:07 +0100,00:35:07,2375.0
8,2023-11-04 00:53:05 +0100,00:53:05,2023-11-04 02:01:11 +0100,02:01:11,4086.0
