it,Date,Game-ID,Player,ELO,Doctrine,MU,SIGMA,Winner,FAC_MU,FAC_SIGMA
0,27/03/19,170,JAMESUK,1500.0,OMGUPG.CMW.ROYALENGIESDOC,1582.6601873955997,8.333333333333334,Allies,25.0,8.333333333333334
1,27/03/19,170,CRONO,1500.0,OMGUPG.ALLY.INFANTRYDOC,1582.6601873955997,8.333333333333334,Allies,25.0,8.333333333333334
2,27/03/19,170,STORMTROUT,1500.0,OMGUPG.ALLY.ARMOURDOC,1582.6601873955997,8.333333333333334,Allies,25.0,8.333333333333334
3,27/03/19,170,OTTO VON SAXONY,1500.0,OMGUPG.AXIS.BLITZDOC,1582.6601873955997,8.333333333333334,Allies,25.0,8.333333333333334
4,27/03/19,170,HOLOWEEN,1500.0,OMGUPG.AXIS.DEFENSEDOC,1582.6601873955997,8.333333333333334,Allies,25.0,8.333333333333334
5,27/03/19,170,BROTHERGLACIUS,1500.0,OMGUPG.AXIS.BLITZDOC,1582.6601873955997,8.333333333333334,Allies,25.0,8.333333333333334
6,28/03/19,1,STORMTROUT,1516.0,OMGUPG.AXIS.DEFENSEDOC,1669.2524506343648,7.972205110825967,Axis,25.0,8.333333333333334
7,28/03/19,1,IJUSTDONTCARE,1500.0,OMGUPG.PE.SCORCHEDDOC,1582.6601873955997,8.333333333333334,Axis,25.0,8.333333333333334
8,28/03/19,1,SNAKE,1500.0,OMGUPG.AXIS.DEFENSEDOC,1582.6601873955997,8.333333333333334,Axis,25.0,8.333333333333334
9,28/03/19,1,SKAFFA,1500.0,OMGUPG.ALLY.INFANTRYDOC,1582.6601873955997,8.333333333333334,Axis,25.0,8.333333333333334
10,28/03/19,1,4LEX,1500.0,OMGUPG.ALLY.INFANTRYDOC,1582.6601873955997,8.333333333333334,Axis,25.0,8.333333333333334
11,28/03/19,1,JAMESUK,1516.0,OMGUPG.ALLY.ARMOURDOC,1669.2524506343648,7.972205110825967,Axis,25.0,8.333333333333334
