upgrade,const,display_name,description,type,faction_restriction,doctrine_restriction,unlock_restriction,man,mun,fuel,pop,uses,slots,unitwide_slots,max,model_count,add_model_count,unit
mp40,AXIS.MP40,MP40s,Equip the squad with MP40s,squad_weapon,wehrmacht,,,0,45,0,0,0,0,1,1,,,volksgrenadiers
axis_panzerfaust,AXIS.FAUST,Panzerfaust,Disposable anti-tank weapons,consumable,wehrmacht,,,0,35,0,0,2,0,0,1,,,volksgrenadiers
axis_panzerfaust,AXIS.FAUST,Panzerfaust,Disposable anti-tank weapons,consumable,wehrmacht,,,0,35,0,0,2,0,0,1,,,kch
axis_panzerfaust,AXIS.FAUST,Panzerfaust,Disposable anti-tank weapons,consumable,,defensive,,0,35,0,0,2,0,0,1,,,fortress_pioneers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,volksgrenadiers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,grenadiers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,pioneers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,mg42
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,mortar_axis
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,pak38
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,medic
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,sniper_axis
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,nebelwerfer
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,defensive,,0,20,0,0,2,0,0,1,,,fortress_pioneers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,defensive,,0,20,0,0,2,0,0,1,,,officer_def
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,terror,,0,20,0,0,2,0,0,1,,,sturmpioneers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,terror,,0,20,0,0,2,0,0,1,,,officer_terror
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,terror,,0,20,0,0,2,0,0,1,,,mortar_terror
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,blitz,,0,20,0,0,2,0,0,1,,,stormtroopers
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,blitz,,0,20,0,0,2,0,0,1,,,flammentrupp
medpack,AXIS.MEDPACK,Medpack,Self-healing kits,consumable,,blitz,,0,20,0,0,2,0,0,1,,,panzer_ace
medpack_kch,AXIS.KCH_MEDPACK,Medpack,Self-healing kits,consumable,wehrmacht,,,0,20,0,0,2,0,0,1,,,kch
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,wehrmacht,,,0,10,0,0,2,0,0,1,,,volksgrenadiers
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,wehrmacht,,,0,10,0,0,2,0,0,1,,,grenadiers
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,wehrmacht,,,0,10,0,0,2,0,0,1,,,kch
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,wehrmacht,,,0,10,0,0,2,0,0,1,,,pioneers
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,,terror,,0,10,0,0,2,0,0,1,,,sturmpioneers
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,,blitz,,0,10,0,0,2,0,0,1,,,stormtroopers
axis_smoke_grenade,AXIS.SMOKE_GRENADE,Smoke Grenades,Grenade that provides smoke cover,consumable,,blitz,,0,10,0,0,2,0,0,1,,,flammentrupp
axis_grenade,AXIS.GRENADE,Grenades,Stick hand grenade,consumable,wehrmacht,,,0,30,0,0,2,0,0,1,,,grenadiers
axis_grenade,AXIS.GRENADE,Grenades,Stick hand grenade,consumable,,defensive,surplus_munitions,0,30,0,0,2,0,0,1,,,volksgrenadiers
axis_grenade,AXIS.GRENADE,Grenades,Stick hand grenade,consumable,,defensive,surplus_munitions,0,30,0,0,2,0,0,1,,,pioneers
axis_panzerschreck,AXIS.SCHRECK,Panzerschreck,A single Panzerschreck,single_weapon,wehrmacht,,,0,110,0,0,0,1,0,2,,,grenadiers
axis_panzerschreck,AXIS.SCHRECK,Panzerschreck,A single Panzerschreck,single_weapon,,defensive,leadership,0,110,0,0,0,1,0,1,,,officer_def
lmg42,AXIS.LMG,LMG42,A single light MG42,single_weapon,wehrmacht,,,0,70,0,0,0,1,0,2,,,grenadiers
lmg42,AXIS.LMG,LMG42,A single light MG42,single_weapon,,defensive,,0,70,0,0,0,1,0,1,,,fortress_pioneers
lmg42,AXIS.LMG,LMG42,A single light MG42,single_weapon,,defensive,leadership,0,70,0,0,0,1,0,1,,,officer_def
lmg42,AXIS.LMG,LMG42,A single light MG42,single_weapon,,defensive,leadership,0,70,0,0,0,1,0,1,,,medic
assault_grenades,AXIS.ASSAULT_NADES,Assault Grenades,"Grants the Assault ability. When activated, approach the target squad and throw a series of grenade",ability,wehrmacht,,,0,50,0,0,0,0,0,1,,,kch
assault_grenades,AXIS.ASSAULT_NADES,Assault Grenades,"Grants the Assault ability. When activated, approach the target squad and throw a series of grenade",ability,,blitz,assault,0,55,0,0,2,0,0,1,,,volksgrenadiers
assault_grenades,AXIS.ASSAULT_NADES,Assault Grenades,"Grants the Assault ability. When activated, approach the target squad and throw a series of grenade",ability,,blitz,assault,0,55,0,0,2,0,0,1,,,grenadiers
assault_grenades,AXIS.ASSAULT_NADES,Assault Grenades,"Grants the Assault ability. When activated, approach the target squad and throw a series of grenade",ability,,blitz,assault,0,65,0,0,2,0,0,1,,,stormtroopers
axis_timed_demo,ALLY.DEMOLITIONS,Timed Demolition Charges,Powerful explosives that must be placed and explode on a timer,consumable,wehrmacht,,,0,30,0,0,2,0,0,1,,,pioneers
axis_timed_demo,ALLY.DEMOLITIONS,Timed Demolition Charges,Powerful explosives that must be placed and explode on a timer,consumable,,terror,,0,30,0,0,2,0,0,1,,,saboteurs
axis_flamethrower,AXIS.FLAMETHROWER,Flamethrower,A single anti-infantry flamethrower,single_weapon,wehrmacht,,,0,50,0,0,0,4,0,1,,,pioneers
axis_mine_detector,AXIS.MINEDETECTOR,Mine Detector,Hand-held mine detector,single_weapon,wehrmacht,,,0,10,0,0,0,0,0,1,,,pioneers
axis_goliath,AXIS.GOLIATH,Goliath,Deploy a remote controlled explosive Goliath,consumable,wehrmacht,,,0,100,0,0,1,5,0,1,,,pioneers
bunker,AXIS.BUNKER,Bunker,"Bunker emplacement, can be garrisoned by infantry",building,wehrmacht,,,0,30,0,0,1,1,0,,,,pioneers
